Source	Size
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/app/pages/config/fields/FieldList.scala	7459
https:/raw.githubusercontent.com/japgolly/scalajs-react/v1.6.0/core/vdom/HtmlTags.scala	7429
https:/raw.githubusercontent.com/japgolly/nyaya/v0.9.0/nyaya/prop/Eval.scala	7378
file:/shipreq/webapp-base/shipreq/webapp/base/ui/semantic/Button.scala	7365
file:/shipreq/webapp-base-member/shipreq/webapp/base/data/IdCeilings.scala	7292
https:/raw.githubusercontent.com/japgolly/microlibs-scala/v2.2/japgolly/microlibs/nonempty/NonEmptyVector.scala	7188
file:/shipreq/webapp-base-member/shipreq/webapp/base/data/FieldReqTypeRules.scala	7177
https:/raw.githubusercontent.com/scala/v2.13.1/collection/immutable/IntMap.scala	7169
https:/raw.githubusercontent.com/scalaz/scalaz/v7.2.30/core/scalaz/std/AnyVal.scala	7135
file:/shipreq/webapp-base-member/shipreq/webapp/base/text/ProjectText.scala	7074
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/widgets/TagEditor.scala	7015
file:/shipreq/base-util/shipreq/base/util/MTrie.scala	6982
https:/raw.githubusercontent.com/scala/v2.13.1/collection/mutable/HashMap.scala	6980
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/widgets/ImplicationEditor.scala	6972
file:/shipreq/webapp-base/shipreq/webapp/base/lib/KeyHandler.scala	6946
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/app/pages/root/Routes.scala	6909
https:/raw.githubusercontent.com/japgolly/scalajs-react/v1.6.0/extra/Px.scala	6885
https:/raw.githubusercontent.com/japgolly/scalajs-react/v1.6.0/core/Reusable.scala	6800
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/app/pages/root/Layout.scala	6786
file:/shipreq/webapp-base/shipreq/webapp/base/feature/dragtoreorder/Instance.scala	6784
https:/raw.githubusercontent.com/scala/v2.13.1/collection/mutable/AnyRefMap.scala	6704
https:/raw.githubusercontent.com/japgolly/scalacss/v0.6.0/scalacss/internal/Data.scala	6691
file:/shipreq/base-util/shipreq/base/util/PotentialChange.scala	6555
https:/raw.githubusercontent.com/japgolly/scalacss/v0.6.0/scalacss/internal/Attr.scala	6553
https:/raw.githubusercontent.com/japgolly/scalacss/v0.6.0/scalacss/internal/Values.scala	6518
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/app/pages/content/issues/IssuesPage.scala	6487
file:/shipreq/webapp-client-project/shipreq/webapp/client/project/app/pages/config/fields/TagFieldEditor.scala	6447
